,CASH
0,472497167.8
1,422878522
2,424617796
3,422620452.4
4,418113804.5
5,417949673.8
6,417949673.8
7,412948276.2
8,415905560.1
9,412570347.6
10,410292902
11,416198194.8
12,411577245
13,411577245
14,413866391.4
15,408691910.5
16,411853780
17,411853780
18,411244048.2
19,407207301.7
20,410903973.2
21,410479832.9
22,413394264.9
23,413394264.9
24,412572844.6
25,409118998.4
26,406516633.7
27,410321881.4
28,410204064.7
29,411030364.2
30,412676245.9
31,414433367.9
32,414446745.9
33,413722374.1
34,418189908.8
35,416688161
36,421209850.1
37,418398137.5
38,416676343.6
39,416676343.6
40,416132561.6
41,413843871.5
42,418399190.7
43,423553232.1
44,428717583
45,424657401.1
46,427005639.1
47,430726458.8
48,425430532.3
49,430338062
50,434914261.8
51,426807406.4
52,426807406.4
53,425170834.3
54,422715783.6
55,416493159
56,418742951.2
57,418742951.2
58,421479089.8
59,425986701.4
60,424508871.5
61,426030404.3
62,424516900.7
63,422938483.9
64,423087293.1
65,423087293.1
66,426113718.5
67,430668892.8
68,424978764
69,424978764
70,424940711
71,425370220.5
72,421509067.8
73,420242808
74,420242808
75,421387946.5
76,418403264.3
77,424433707.4
78,423766203.3
79,422248956.7
80,425829790.1
81,422657404.9
82,418709130
83,417437414.9
84,422875154.8
85,418250058.9
86,419499575.1
87,416462405.1
88,416462405.1
89,416566098.2
90,415878442.9
91,415878442.9
92,415875493.3
93,418267865
94,415163382.6
95,416139197.6
96,421112893.1
97,422616695.4
98,420382110.6
99,419377961.9
100,416624386.4
101,413753468.2
102,413148383.9
103,413091077.2
104,413091077.2
105,415646411.9
106,411203108.2
107,411203108.2
108,411202494.1
109,414008767.4
110,420386615.9
111,421095239.2
112,420623382.5
113,418114823.5
114,419366807.1
115,420369614
116,417990704.6
117,417990704.6
118,418055978.9
119,417717970.4
120,415437258.8
121,415437258.8
122,411763521.7
123,415157386.4
124,416011880.6
125,408266668.5
126,406538193.2
127,407050907.7
128,407536539.9
129,404666584.9
130,405209864.2
131,404266129.6
132,401173050
133,403951337.2
134,399129847.8
135,404550621.2
136,404916485.6
137,404495882.4
138,402516773.3
139,406238797.4
140,406480655.8
141,407186212.6
142,408560357.4
143,408560357.4
144,408559858.4
145,403124286.7
146,405194416.9
147,403358758.7
148,403327516.5
149,401816069.4
150,396655722.7
151,395407910.1
152,390980669.1
153,398088306.5
154,394381238.9
155,397251514
156,401995435.8
157,399683826.1
158,403574769.7
159,406955023.3
160,400657261.4
161,399444265.6
162,399444265.6
163,399443201.3
164,399958413.9
165,404888599.4
166,405914786.7
167,400602681.3
168,407861950.7
169,406812458.1
170,403543581.3
171,402421688.9
172,403878446.9
173,403878446.9
174,405151777.1
175,405935582.5
176,402562709.1
177,404768941.1
178,401061133.7
179,401061133.7
180,402150430.4
181,396472056.2
182,398433257.9
183,396761868.7
184,402142203.7
185,404999512.5
186,404979930.9
187,410086713.5
188,409774053.3
189,412147791.4
190,412331078.7
191,413172466.8
192,414677560.8
193,416336917.7
194,412177080.5
195,415101162.6
196,415101162.6
197,416929178.9
198,418401253.6
199,414175172.3
200,413324367.5
201,414801307.3
202,416857382.8
203,416966828.5
204,413491909.3
205,412546230.5
206,414918716.4
207,413359402.2
208,416199130
209,410570594.4
210,410092203.6
211,416276231.9
212,420689618.3
213,420689618.3
214,425119771.3
215,422165740.7
216,424345195.6
217,423927415.5
218,419125659.7
219,420480870.8
220,423540251.5
221,418924370.7
222,418924370.7
223,416827079.6
224,415397034.9
225,408724388.3
226,410430893.4
227,415825343.1
228,412775172.8
229,416377776.6
230,416377776.6
231,415175554.4
232,411806427.7
233,414160711.3
234,415668314.3
235,415718364.8
236,415556148
237,416506936.7
238,409461894.5
239,410725919.8
240,412574636.1
241,420588138.3
242,415531492
243,415678533.9
244,415678533.9
245,417413941.2
246,413392509.5
247,416202424.4
248,416202424.4
249,413014050.3
